x1,x2,x3,x4,x5,y
1.262954285,-0.04019269,2.955663754,7.531713959,13.19135144,21.77469838
-0.326233361,0.374370259,-1.103090039,2.867299655,6.648601758,5.760148379
1.329799263,-0.73792578,-0.839212851,-0.655305844,2.102797835,-1.211054224
1.272429321,0.050255582,0.538215152,-2.539047242,-3.016690613,-3.750021472
0.414641434,0.767518894,-0.497895195,0.292235332,1.398908967,1.220861991
-1.539950042,0.803203697,-2.726518166,-6.360587499,-13.90165648,-8.275579338
-0.928567035,1.873858257,-0.42623357,0.761181359,3.055417049,4.301156261
-0.294720447,1.740599835,-0.180149808,1.156665336,3.436952922,6.981791546
-0.005767173,2.027691899,0.758086878,3.931169027,7.026584168,10.21274991
2.404653389,-2.650144342,0.257787985,0.765749441,7.56750025,3.833173719
0.763593461,0.408164538,-0.95609778,-0.407006114,1.077070441,-2.231007265
-0.799009249,1.882661839,-0.46269141,0.008005817,-0.112150901,0.612900301
-1.147657009,2.271209483,-0.764244542,1.794608089,4.935559515,5.930194015
-0.289461574,2.809012961,0.437462819,3.229195947,6.14869258,10.59007675
-0.299215118,-1.296721822,-1.119587931,-4.506715415,-9.366562741,-12.03628468
-0.411510833,2.838323214,0.315440074,3.197503207,7.164026544,10.1734915
0.252223448,-0.764107275,-0.986844677,-1.216013702,-2.705243094,-4.778014328
-0.891921127,6.297651854,1.698632618,7.080584828,16.61204816,26.28394119
0.435683299,-2.336823751,-2.977110442,-7.165628302,-13.35668852,-21.57814644
-1.237538422,2.234251221,-0.759196247,-0.018841047,0.261875306,0.716170975
-0.224267885,1.225056388,-0.357045754,-0.236676831,-0.335970762,1.691456406
0.377395646,2.235841132,2.696602789,7.983620272,16.13347769,23.46801676
0.133336361,0.925998694,-0.889458786,0.405351728,1.64727507,1.21785629
0.80418951,-0.037592709,-0.736741713,-0.022097368,0.205985226,0.222406634
-0.057106774,1.321361362,-0.778036221,1.834948371,3.791549093,2.621189235
0.503607972,2.085731797,0.82461329,4.905052626,10.17697931,14.90338721
1.085769362,0.013526117,-0.555519398,-0.509928542,-1.944336072,3.460076083
-0.69095384,0.798655321,-1.009524983,-1.912476003,-2.818055383,-5.166104115
-1.284599354,1.935854386,-0.570227421,1.277806639,4.091220697,5.054745108
0.046726172,1.24298394,0.117381805,0.223099354,4.020068119,3.104965033
-0.235706556,1.497159164,2.671361306,6.788722313,12.34918104,18.3622525
-0.542888255,1.438476307,-2.172910154,-2.754955774,-5.639096491,-7.903096479
-0.433310317,1.53718944,0.868711919,5.063869277,9.385030015,13.34629409
-0.649471647,1.708493808,-0.471149665,0.624573575,2.251181725,2.61545008
0.726750747,2.261025192,-0.713539705,1.721189911,10.87408034,3.919670154
1.151911754,3.089086822,1.593561283,7.744416898,16.03183076,22.35732084
0.992160365,0.213682964,1.383494999,3.884113843,7.643681321,11.73004823
-0.429513109,1.524707566,-1.145581607,0.191469803,-0.876436741,3.560919453
1.238304101,0.030465319,1.602613278,-3.558373212,-8.260037634,-8.248101491
-0.279346282,1.025797144,0.204951451,1.711240582,3.005662363,5.742126592
1.75790309,-0.855414403,0.428069643,2.386183453,4.48960668,3.71702326
0.560746091,-0.028242946,-0.723858569,0.053289325,-2.796734264,-3.387873075
-0.452783973,1.746694369,-0.041403462,-3.383978615,-5.390073758,-5.774302128
-0.832043296,-3.580515011,-3.639240845,-9.771344934,-17.21877628,-31.307062
-1.166570547,3.201587258,-0.247596815,1.64462629,4.622984584,7.657120414
-1.06559058,2.079230785,-6.204721724,-10.3702689,-14.79926296,-25.32247044
-1.563782051,2.779337932,-0.788301717,0.120684891,5.875079482,4.393873336
1.156536997,0.065715701,0.361520311,2.6882619,5.439164867,6.43278115
0.832047129,0.425295459,0.477841001,2.851304928,5.893569915,11.52536942
-0.227328691,-3.142135849,-2.678594089,-5.85809327,-13.00025309,-23.04682838
0.266137362,1.495320284,0.097164797,2.261132684,5.073174859,7.890556946
-0.376702719,1.139416134,0.161946468,1.489107693,2.623257796,5.168794954
2.441364629,-2.112283906,-3.217133319,-1.644553314,-4.27229861,-8.064636093
-0.795339117,1.840770909,-1.992106528,-4.883888371,-3.920670784,-9.068160368
-0.054877474,2.477951831,0.48743527,4.736367276,10.2375053,14.73416548
0.250141323,-7.513606015,-4.92965861,-14.42254123,-30.30924581,-51.18344361
0.618243294,0.576546499,0.158178703,2.521744272,4.919882008,6.106407308
-0.172623503,1.422161663,-1.368017628,-1.938732951,-2.612615051,-3.031677142
-2.223900274,6.068548785,0.266166857,3.718662725,9.866469068,15.9957595
-1.263614385,0.800606924,-1.615075208,-2.829660437,-5.634759862,-8.931950839
0.358728896,-1.868941556,-1.502914997,-3.425382481,-6.614700255,-12.19870457
-0.011045478,1.191111041,-0.883591525,-1.059637646,-0.695548933,-2.336304018
-0.940649163,2.228726744,-0.314378757,7.005234204,11.03442436,16.30819759
-0.115825322,1.425713775,-0.329216324,0.51784409,2.049214935,1.119226255
